metamodel_api_key,old_total,converted,skipped,warnings,db_actual,match
aggregationCompute,100,100,0,475,100,Y
aggregationComputeDetail,92,92,0,303,92,Y
aiAgent,6,6,0,3,6,Y
aiAgentAction,53,53,0,0,53,Y
aiAgentActionParams,116,116,0,0,116,Y
aiAgentBase,6,6,0,3,6,Y
aiAgentShortcut,20,20,0,0,20,Y
aiAgentTopic,28,28,0,1,28,Y
aiAgentTopicInstruction,54,54,0,6,54,Y
aiAppDatasetRelation,9,9,0,0,9,Y
aiAppllmRegister,46,46,0,0,46,Y
aiCommonDataSource,5,5,0,0,5,Y
aiDataset,5,5,0,0,5,Y
aiLibraryAction,36,36,0,0,36,Y
aiLibraryActionParams,89,89,0,0,89,Y
aiMCPServer,1,1,0,0,1,Y
aiModelParams,2,2,0,0,2,Y
aiModuleRegistry,3,3,0,0,3,Y
aiPromptTemplate,30,30,0,0,30,Y
aiPromptTemplateBase,30,30,0,0,30,Y
aiPromptTemplateParam,93,93,0,10,93,Y
aiProvider,8,8,0,0,8,Y
aiProviderInfo,7,7,0,0,7,Y
aiProviderModels,33,33,0,0,33,Y
aiProviderModelsInfo,41,41,0,0,41,Y
aiRAG,8,8,0,0,8,Y
aiResourceConfig,4,4,0,0,4,Y
aiSearchView,23,23,0,0,23,Y
aiSearchViewBytearray,23,23,0,0,23,Y
aiSearchViewCondition,40,40,0,0,40,Y
aiSearchViewResult,145,145,0,0,145,Y
aiSearchViewSort,24,24,0,0,24,Y
aiSmartSummaryPoints,3,3,0,0,3,Y
aiSmartSummaryTemplate,1,1,0,0,1,Y
aiTemplateCondition,14,14,0,0,14,Y
aillmAppConfig,1,1,0,0,1,Y
assessmentMethodology,3,3,0,0,3,Y
bulletinBoard,1,1,0,0,1,Y
bulletinBoardField,6,6,0,0,6,Y
bulletinBoardSupportObject,1,1,0,0,1,Y
bulletinBoardView,1,1,0,1,1,Y
busiRule,3,3,0,0,3,Y
busiTypeMapping,4,4,0,0,4,Y
busiTypeMappingDetail,11,11,0,0,11,Y
busiTypePickOption,10,10,0,30,10,Y
candidateItemsConfig,89,89,0,140,89,Y
candidateItemsDevelop,16,16,0,0,16,Y
checkRule,36,36,0,60,36,Y
codeClass,226,226,0,0,189,N
codeComponent,226,226,0,0,189,N
codePackage,16,16,0,0,1,N
commonLimits,840,840,0,675,840,Y
commonSetting,1,1,0,0,1,Y
computeFactor,417,417,0,949,417,Y
customMenu,2,2,0,0,2,Y
customOpenApi,279,279,0,0,237,N
customOpenApiField,426,426,0,0,365,N
dataInsightDimension,15,15,0,0,15,Y
dataInsightDimensionContentData,23,23,0,0,23,Y
dataInsightTemplate,2,2,0,0,2,Y
dataListView,4459,4459,0,7122,4403,N
dataListViewConfig,8648,8648,0,13698,8648,Y
deprecationDelta,2,2,0,0,2,Y
dimensionPrivilege,75,75,0,61,75,Y
duplicateMatchingRule,8,8,0,16,8,Y
duplicateRule,92,92,0,152,92,Y
duplicateRuleDetail,162,162,0,264,162,Y
enterpriseInfoItem,102,102,0,0,102,Y
enterpriseInfoType,10,10,0,0,10,Y
entityTypeRelFieldSet,18,18,0,30,18,Y
fieldSet,25,25,0,30,25,Y
fieldSetItem,59,59,0,149,59,Y
formulaCompute,110,110,0,252,96,N
formulaComputeItem,197,197,0,121,197,Y
function,10615,10615,0,15689,10471,N
globalPick,58,58,0,3,58,Y
guestModeConfig,2,2,0,0,2,Y
healthAssessmentDimensionContentData,11,11,0,0,11,Y
insightDataSource,9,9,0,0,9,Y
intelligentDataEntryDesc,46,46,0,0,46,Y
item,24028,24028,0,45425,23822,N
itemDbColumnRange,172,172,0,0,172,Y
itemDependency,73,73,0,104,73,Y
itemDependencyDetail,704,704,0,1390,704,Y
layout,7205,7205,0,11404,7205,Y
layoutConfig,7251,7251,0,11472,7251,Y
layoutEntityExtend,2,2,0,4,2,Y
menu,57,57,0,6,57,Y
metaUseRegistry,35,35,0,89,28,N
metaUseRegistryHint,29,29,0,0,29,Y
miniProgramCompLayout,28,28,0,0,28,Y
miniProgramLayout,59,59,0,82,59,Y
miniProgramLayoutRel,15,15,0,0,15,Y
miniProgramPage,35,35,0,0,35,Y
navigationMenu,48,48,0,0,48,Y
navigationMenuPack,178,178,0,254,178,Y
navigationMenuResponsibility,6,6,0,8,6,Y
neoComponent,81,81,0,0,81,Y
neoComponentDesignExt,85,85,0,58,85,Y
neoComponentInterface,19,19,0,2,19,Y
neoComponentItem,423,423,0,0,423,Y
neoComponentLayoutConfig,9,9,0,0,9,Y
neoComponentOption,54,54,0,54,54,Y
neoComponentPropDesignExt,45,45,0,88,45,Y
neoComponentUpgrade,33,33,0,24,33,Y
neoLayoutSwitchCommon,1,1,0,0,1,Y
neoLayoutSwitchTenant,9,9,0,0,9,Y
neoPage,7,7,0,0,7,Y
neoPageInterface,6,6,0,0,6,Y
neoPageLoadData,1,1,0,0,1,Y
neoUIEvent,58,58,0,0,58,Y
neoUIFunction,14,14,0,0,14,Y
objectBusiType,919,919,0,1492,905,N
objectUiConfig,9,9,0,8,9,Y
oppHealthAssessmentDimension,4,4,0,0,4,Y
oppHealthAssessmentLevel,4,4,0,0,4,Y
oppHealthAssessmentTemplate,1,1,0,0,1,Y
pickOption,18218,18218,0,43139,18120,N
privilegeObjectTenantConfig,1647,1647,0,2933,1647,Y
privilegeTenantConfig,1,1,0,0,1,Y
referenceFilter,117,117,0,241,117,Y
referenceFilterDetail,177,177,0,337,177,Y
resourceGroup,1,1,0,0,1,Y
resourceGroupItem,3,3,0,0,3,Y
responsibility,18,18,0,0,18,Y
responsibilityBusiType,9369,9369,0,15062,9369,Y
responsibilityEntityField,46374,46374,0,82640,46374,Y
responsibilityFunction,14303,14303,0,0,14303,Y
responsibilityLayout,1972,1972,0,3476,1972,Y
responsibilityResourceGroup,1,1,0,0,1,Y
role,5,5,0,0,5,Y
roleDimension,6,6,0,0,6,Y
scriptTrigger,99,99,0,0,81,N
socialGraphRole,1,1,0,2,1,Y
tenantJar,14,14,0,0,1,N
territoryRecycleTemplate,11,11,0,0,11,Y
unknown_-13000,15,0,15,0,0,Y
unknown_-13001,15,0,15,0,0,Y
unknown_-13092,7,0,7,0,0,Y
xActionButton,23607,23607,0,39520,23607,Y
xActionButtonEntity,46,46,0,66,46,Y
xBusinessComponent,1299,1299,0,2273,1298,N
xBusinessComponentObject,17118,17118,0,30881,17118,Y
xobject,892,892,0,1492,878,N
xobjectLink,7024,7024,0,0,6940,N
